* Measurement data measured by REW V5.20.9
* Source: /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Other/Test/IEF FIX.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 19, 2022 1:43:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Other/Test/IEF FIX.txt Format: Comma/Tab/Space delimited data 957 values loaded, 20 Hz to 19,895 Hz log spaced
* Measurement: IEF FIX
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.999107 90.000 0.0000
20.144030 90.000 0.0000
20.290001 90.000 0.0000
20.437031 90.000 0.0000
20.585127 90.000 0.0000
20.734295 90.000 0.0000
20.884544 90.000 0.0000
21.035883 90.000 0.0000
21.188318 90.000 0.0000
21.341858 90.000 0.0000
21.496510 90.000 0.0000
21.652283 90.000 0.0000
21.809185 90.000 0.0000
21.967224 90.000 0.0000
22.126408 90.000 0.0000
22.286745 90.000 0.0000
22.448244 90.000 0.0000
22.610914 90.000 0.0000
22.774763 90.000 0.0000
22.939798 90.000 0.0000
23.106030 90.000 0.0000
23.273466 90.000 0.0000
23.442116 90.000 0.0000
23.611986 90.000 0.0000
23.783089 90.000 0.0000
23.955431 90.000 0.0000
24.129023 90.000 0.0000
24.303871 90.000 0.0000
24.479986 90.000 0.0000
24.657379 90.000 0.0000
24.836056 90.000 0.0000
25.016027 90.000 0.0000
25.197304 90.000 0.0000
25.379894 90.000 0.0000
25.563807 90.000 0.0000
25.749052 90.000 0.0000
25.935640 90.000 0.0000
26.123581 90.000 0.0000
26.312883 90.000 0.0000
26.503557 90.000 0.0000
26.695612 90.000 0.0000
26.889059 90.000 0.0000
27.083908 90.000 0.0000
27.280169 90.000 0.0000
27.477852 90.000 0.0000
27.676968 90.000 0.0000
27.877527 90.000 0.0000
28.079538 90.000 0.0000
28.283014 90.000 0.0000
28.487965 90.000 0.0000
28.694401 90.000 0.0000
28.902332 90.000 0.0000
29.111771 90.000 0.0000
29.322727 90.000 0.0000
29.535212 90.000 0.0000
29.749235 90.000 0.0000
29.964811 90.000 0.0000
30.181950 90.000 0.0000
30.400660 90.000 0.0000
30.620955 90.000 0.0000
30.842846 90.000 0.0000
31.066345 90.000 0.0000
31.291464 90.000 0.0000
31.518215 90.000 0.0000
31.746609 90.000 0.0000
31.976658 90.000 0.0000
32.208374 90.000 0.0000
32.441769 90.000 0.0000
32.676853 90.000 0.0000
32.913643 90.000 0.0000
33.152149 90.000 0.0000
33.392384 90.000 0.0000
33.634357 90.000 0.0000
33.878086 90.000 0.0000
34.123581 90.000 0.0000
34.370853 90.000 0.0000
34.619919 90.000 0.0000
34.870789 90.000 0.0000
35.123478 90.000 0.0000
35.377998 90.000 0.0000
35.634361 90.000 0.0000
35.892582 90.000 0.0000
36.152676 90.000 0.0000
36.414654 90.000 0.0000
36.678528 90.000 0.0000
36.944317 90.000 0.0000
37.212032 90.000 0.0000
37.481686 90.000 0.0000
37.753292 90.000 0.0000
38.026867 90.000 0.0000
38.302425 90.000 0.0000
38.579979 90.000 0.0000
38.859547 90.000 0.0000
39.141140 90.000 0.0000
39.424774 90.000 0.0000
39.710461 90.000 0.0000
39.998219 90.000 0.0000
40.288063 90.000 0.0000
40.580006 90.000 0.0000
40.874065 90.000 0.0000
41.170258 90.000 0.0000
41.468594 90.000 0.0000
41.769093 90.000 0.0000
42.071770 90.000 0.0000
42.376640 90.000 0.0000
42.683720 90.000 0.0000
42.993023 90.000 0.0000
43.304569 90.000 0.0000
43.618374 90.000 0.0000
43.934452 90.000 0.0000
44.252819 90.000 0.0000
44.573494 90.000 0.0000
44.896492 90.000 0.0000
45.221832 90.000 0.0000
45.549530 90.000 0.0000
45.879601 90.000 0.0000
46.212063 90.000 0.0000
46.546936 90.000 0.0000
46.884235 90.000 0.0000
47.223976 90.000 0.0000
47.566181 90.000 0.0000
47.910866 90.000 0.0000
48.258049 90.000 0.0000
48.607746 90.000 0.0000
48.959976 90.000 0.0000
49.314762 90.000 0.0000
49.672115 90.000 0.0000
50.032059 90.000 0.0000
50.394611 90.000 0.0000
50.759792 90.000 0.0000
51.127617 90.000 0.0000
51.498108 90.000 0.0000
51.871284 90.000 0.0000
52.247166 90.000 0.0000
52.625771 90.000 0.0000
53.007118 90.000 0.0000
53.391232 90.000 0.0000
53.778126 90.000 0.0000
54.167824 90.000 0.0000
54.560345 90.000 0.0000
54.955711 90.000 0.0000
55.353943 90.000 0.0000
55.755062 90.000 0.0000
56.159088 90.000 0.0000
56.566040 90.000 0.0000
56.975941 90.000 0.0000
57.388813 90.000 0.0000
57.804676 90.000 0.0000
58.223553 90.000 0.0000
58.645466 90.000 0.0000
59.070435 90.000 0.0000
59.498482 90.000 0.0000
59.929634 90.000 0.0000
60.363911 90.000 0.0000
60.801331 90.000 0.0000
61.241920 90.000 0.0000
61.685703 90.000 0.0000
62.132702 90.000 0.0000
62.582939 90.000 0.0000
63.036442 90.000 0.0000
63.493229 90.000 0.0000
63.953327 90.000 0.0000
64.416756 90.000 0.0000
64.883545 90.000 0.0000
65.353722 90.000 0.0000
65.827301 90.000 0.0000
66.304314 90.000 0.0000
66.784782 90.000 0.0000
67.268730 90.000 0.0000
67.756187 90.000 0.0000
68.247177 90.000 0.0000
68.741722 90.000 0.0000
69.239853 90.000 0.0000
69.741592 90.000 0.0000
70.246971 90.000 0.0000
70.756012 90.000 0.0000
71.268738 90.000 0.0000
71.785179 90.000 0.0000
72.305367 90.000 0.0000
72.829323 90.000 0.0000
73.357071 90.000 0.0000
73.888649 90.000 0.0000
74.424080 90.000 0.0000
74.963387 90.000 0.0000
75.506599 90.000 0.0000
76.053749 90.000 0.0000
76.604866 90.000 0.0000
77.159973 90.000 0.0000
77.719109 90.000 0.0000
78.282295 90.000 0.0000
78.849564 90.000 0.0000
79.420937 90.000 0.0000
79.996452 90.000 0.0000
80.576141 90.000 0.0000
81.160027 90.000 0.0000
81.748146 90.000 0.0000
82.340530 90.000 0.0000
82.937202 90.000 0.0000
83.538200 90.000 0.0000
84.143555 90.000 0.0000
84.753296 90.000 0.0000
85.367455 90.000 0.0000
85.986061 90.000 0.0000
86.609154 90.000 0.0000
87.236763 90.000 0.0000
87.868919 90.000 0.0000
88.505653 90.000 0.0000
89.147003 90.000 0.0000
89.792999 90.000 0.0000
90.443680 90.000 0.0000
91.099075 90.000 0.0000
91.759216 90.000 0.0000
92.424141 90.000 0.0000
93.093887 90.000 0.0000
93.768486 90.000 0.0000
94.447968 90.000 0.0000
95.132378 90.000 0.0000
95.821747 90.000 0.0000
96.516113 90.000 0.0000
97.215508 90.000 0.0000
97.919968 90.000 0.0000
98.629539 90.000 0.0000
99.344254 90.000 0.0000
100.064140 90.000 0.0000
100.789246 90.000 0.0000
101.519608 90.000 0.0000
102.255264 90.000 0.0000
102.996246 90.000 0.0000
103.742599 90.000 0.0000
104.494362 90.000 0.0000
105.251572 90.000 0.0000
106.014267 90.000 0.0000
106.782494 90.000 0.0000
107.556282 90.000 0.0000
108.335678 90.000 0.0000
109.120720 90.000 0.0000
109.911453 90.000 0.0000
110.707916 90.000 0.0000
111.510155 90.000 0.0000
112.318207 90.000 0.0000
113.132111 90.000 0.0000
113.951912 90.000 0.0000
114.777657 90.000 0.0000
115.609383 90.000 0.0000
116.447136 90.000 0.0000
117.290962 90.000 0.0000
118.140900 90.000 0.0000
118.996994 90.000 0.0000
119.859299 90.000 0.0000
120.727852 90.000 0.0000
121.602699 90.000 0.0000
122.483879 90.000 0.0000
123.371445 90.000 0.0000
124.265442 90.000 0.0000
125.165924 90.000 0.0000
126.072929 90.000 0.0000
126.986504 90.000 0.0000
127.906700 90.000 0.0000
128.833572 90.000 0.0000
129.767151 90.000 0.0000
130.707504 90.000 0.0000
131.654663 90.000 0.0000
132.608688 90.000 0.0000
133.569626 90.000 0.0000
134.537521 90.000 0.0000
135.512436 90.000 0.0000
136.494415 90.000 0.0000
137.483505 90.000 0.0000
138.479767 90.000 0.0000
139.483246 90.000 0.0000
140.494003 90.000 0.0000
141.512085 90.000 0.0000
142.537537 90.000 0.0000
143.570419 90.000 0.0000
144.610794 90.000 0.0000
145.658707 90.000 0.0000
146.714203 90.000 0.0000
147.777359 90.000 0.0000
148.848221 90.000 0.0000
149.926834 90.000 0.0000
151.013260 90.000 0.0000
152.107559 90.000 0.0000
153.209793 90.000 0.0000
154.320007 90.000 0.0000
155.438278 90.000 0.0000
156.564651 90.000 0.0000
157.699188 90.000 0.0000
158.841934 90.000 0.0000
159.992966 90.000 0.0000
161.152344 90.000 0.0000
162.320114 90.000 0.0000
163.496353 90.000 0.0000
164.681122 90.000 0.0000
165.874466 90.000 0.0000
167.076462 90.000 0.0000
168.287170 90.000 0.0000
169.506653 90.000 0.0000
170.734970 90.000 0.0000
171.972183 90.000 0.0000
173.218369 90.000 0.0000
174.473587 90.000 0.0000
175.737900 90.000 0.0000
177.011368 90.000 0.0000
178.294067 90.000 0.0000
179.586060 90.000 0.0000
180.887421 90.000 0.0000
182.198212 90.000 0.0000
183.518494 90.000 0.0000
184.848343 90.000 0.0000
186.187836 90.000 0.0000
187.537033 90.000 0.0000
188.896011 90.000 0.0000
190.264832 90.000 0.0000
191.643570 90.000 0.0000
193.032303 90.000 0.0000
194.431091 90.000 0.0000
195.840012 90.000 0.0000
197.259155 90.000 0.0000
198.688583 90.000 0.0000
200.128357 90.000 0.0000
201.578568 90.000 0.0000
203.039291 90.000 0.0000
204.510605 90.000 0.0000
205.992569 90.000 0.0000
207.485275 90.000 0.0000
208.988800 90.000 0.0000
210.503220 90.000 0.0000
212.028610 90.000 0.0000
213.565063 90.000 0.0000
215.112640 90.000 0.0000
216.671432 90.000 0.0000
218.241516 90.000 0.0000
219.822983 90.000 0.0000
221.415909 90.000 0.0000
223.020386 90.000 0.0000
224.636490 90.000 0.0000
226.264297 90.000 0.0000
227.903900 90.000 0.0000
229.555389 90.000 0.0000
231.218842 90.000 0.0000
232.894348 90.000 0.0000
234.582001 90.000 0.0000
236.281876 90.000 0.0000
237.994064 90.000 0.0000
239.718674 90.000 0.0000
241.455780 90.000 0.0000
243.205475 90.000 0.0000
244.967834 90.000 0.0000
246.742966 90.000 0.0000
248.530960 90.000 0.0000
250.331924 90.000 0.0000
252.145935 90.000 0.0000
253.973083 90.000 0.0000
255.813477 90.000 0.0000
257.667206 90.000 0.0000
259.534363 90.000 0.0000
261.415070 90.000 0.0000
263.309387 90.000 0.0000
265.217438 90.000 0.0000
267.139313 90.000 0.0000
269.075104 90.000 0.0000
271.024933 90.000 0.0000
272.988892 90.000 0.0000
274.967072 90.000 0.0000
276.959595 90.000 0.0000
278.966553 90.000 0.0000
280.988068 90.000 0.0000
283.024231 90.000 0.0000
285.075134 90.000 0.0000
287.140900 90.000 0.0000
289.221649 90.000 0.0000
291.317474 90.000 0.0000
293.428467 90.000 0.0000
295.554779 90.000 0.0000
297.696503 90.000 0.0000
299.853729 90.000 0.0000
302.026581 90.000 0.0000
304.215179 90.000 0.0000
306.419647 90.000 0.0000
308.640076 90.000 0.0000
310.876617 90.000 0.0000
313.129364 90.000 0.0000
315.398438 90.000 0.0000
317.683929 90.000 0.0000
319.985992 90.000 0.0000
322.304749 90.000 0.0000
324.640289 90.000 0.0000
326.992767 90.000 0.0000
329.362305 90.000 0.0000
331.748993 90.000 0.0000
334.152985 90.000 0.0000
336.574402 90.000 0.0000
339.013367 90.000 0.0000
341.470001 90.000 0.0000
343.944427 90.000 0.0000
346.436798 90.000 0.0000
348.947235 90.000 0.0000
351.475861 90.000 0.0000
354.022797 90.000 0.0000
356.588196 90.000 0.0000
359.172180 90.000 0.0000
361.774902 90.000 0.0000
364.396484 90.000 0.0000
367.037048 90.000 0.0000
369.696747 90.000 0.0000
372.375732 90.000 0.0000
375.074127 90.000 0.0000
377.792084 90.000 0.0000
380.529724 90.000 0.0000
383.287201 90.000 0.0000
386.064667 90.000 0.0000
388.862244 90.000 0.0000
